Release Date,Time,Actual,Forecast,Previous
2-Aug-23,2:00,-15.400M,-0.900M,1.319M
26-Jul-23,2:00,1.319M,-1.969M,-0.797M
19-Jul-23,2:00,-0.797M,-2.250M,3.026M
12-Jul-23,2:00,3.026M,0.200M,-4.382M
6-Jul-23,2:00,-4.382M,-1.800M,-2.408M
28-Jun-23,2:00,-2.408M,-1.467M,-1.246M
22-Jun-23,2:00,-1.246M,-0.433M,1.024M
14-Jun-23,2:00,1.024M,-1.291M,-1.710M
7-Jun-23,2:00,-1.710M,1.500M,5.202M
1-Jun-23,2:00,5.202M,-1.220M,-6.799M
24-May-23,2:00,-6.799M,0.525M,3.690M
17-May-23,2:00,3.690M,-1.300M,3.618M
10-May-23,2:00,3.618M,-1.600M,-3.939M
3-May-23,2:00,-3.939M,-1.000M,-6.083M
26-Apr-23,2:00,-6.083M,-1.667M,-2.675M
19-Apr-23,2:00,-2.675M,-2.464M,0.377M
12-Apr-23,2:00,0.377M,-1.300M,-4.346M
5-Apr-23,2:00,-4.346M,-1.800M,-6.076M
29-Mar-23,2:00,-6.076M,0.187M,3.262M
22-Mar-23,2:00,3.262M,-1.448M,1.155M
15-Mar-23,2:00,1.155M,0.555M,-3.835M
8-Mar-23,3:00,-3.835M,-0.308M,6.203M
1-Mar-23,3:00,6.203M,0.440M,9.895M
23-Feb-23,3:00,9.895M,1.233M,10.507M
15-Feb-23,3:00,10.507M,0.321M,-2.184M
8-Feb-23,3:00,-2.184M,2.150M,6.330M
1-Feb-23,3:00,6.330M,-1.000M,3.378M
25-Jan-23,3:00,3.378M,1.600M,7.615M
19-Jan-23,3:00,7.615M,-1.750M,14.865M
11-Jan-23,3:00,14.865M,-2.375M,3.298M
5-Jan-23,3:00,3.298M,-,-1.300M
29-Dec-22,3:00,-1.300M,-,-3.069M
21-Dec-22,3:00,-3.069M,-0.167M,7.819M
14-Dec-22,3:00,7.819M,-3.913M,-6.426M
7-Dec-22,3:00,-6.426M,-3.884M,-7.850M
30-Nov-22,3:00,-7.850M,-2.487M,-4.819M
23-Nov-22,3:00,-4.819M,-2.200M,-5.835M
16-Nov-22,3:00,-5.835M,-0.400M,5.618M
9-Nov-22,3:00,5.618M,1.100M,-6.530M
2-Nov-22,2:00,-6.530M,0.267M,4.520M
26-Oct-22,2:00,4.520M,0.200M,-1.270M
19-Oct-22,2:00,-1.270M,1.551M,7.054M
