Name,Link,Twiter,Facebook,Instagram,Youtube,Description,LastUpdate,Location,Year Publishing,Language,Content
Newtral,https://www.newtral.es/,https://twitter.com/Newtral,https://www.facebook.com/NewtralMedia/,https://www.instagram.com/newtral/,https://www.youtube.com/@Newtral_,"Newtral specialises in audiovisual production, fact-checking and new narratives. It was founded in 2018 by journalist Ana Pastor, who is well-known in Spain as a television interviewer.
Pastor is the sole owner of the outlet, which today employs 72 people, including journalists, engineers, researchers, programmers, producers, directors, graphic designers and documentary makers.
""We are not a television production company, but we make programmes. We are not a media company, but we inform. In this new world, you don't have to be just one thing,"" said Pastor in an interview in 2019. Currently, the team is also working on a line of research and development in artificial intelligence.
Joaquín Ortega, content director, refers to Newtral's diverse activity and describes it as ""a media start-up focused on audiovisual production, fact-checking, new narratives and explanatory journalism; public service that reduces noise"". The company’s content includes science, politics, transparency, climate change, energy and gender equality. This content is published on its free-access website and on social networks, as well as a newsletter and a podcast.
Newtral’s name is the fusion of the words “news” and “neutral”, and its motto is ""stories that matter and fact-checking"". ""We don't defend any political party or ideology,"" says Ortega. ""It's the basis of fact-checking."" The methodology the outlet uses is available on its website.
The company derives its revenue from television production for clients such as Spanish broadcaster AtresMedia, Netflix or HBO, and from fact-checking work for companies such as Meta or TikTok, Ortega explains. In 2021, it had a turnover of €4.9 million and a profit of €158,000, according to the outlet's website.
Newtral is a verified member of the International Fact-Checking Network (IFCN). In May 2019, the Newtral Education project was launched to help foster critical thinking in schools, colleges and universities. In 2020, Newtral established the Master's Degree in Digital Verification, Fact-Checking and Data Journalism in collaboration with San Pablo CEU University.
Among the lessons learned in the organisation’s first five years, Ortega highlights prioritising human relations in the team. ""It is something that was not foreseen, we have been creating a business culture that is not the usual one in the media,"" he says. A second lesson is related to the ""slow and quiet"" way in which the company grows as it adds new projects. ""It allows us to be creative, maintain our environment, be independent and do what we like,"" says Ortega.",23-Jun,"Madrid, Spain",2018,Spanish,"Science, Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Education, Environment, Politics, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice, Technology"
Equinox,https://www.equinoxmagazine.fr/,https://twitter.com/equinoxbcn,https://www.facebook.com/equinoxradio.barcelone,https://www.instagram.com/equinoxbarcelone/,https://www.youtube.com/user/bobbychon,"Two French journalists based in Barcelona decided to found an online radio station in 2011 to inform their compatriots living in the city about local news and culture. Aurélie Chamerois and Nico Salvadó were then working as correspondents for several French-speaking media, and dedicated a small part of their time to Equinox Radio. Three years later, they launched a news website, Equinox Magazine, which has been growing ever since. Today, they run a sustainable project that employs four full-time staff and four collaborators.
Its audience is made up of French people living in Catalonia. ""There are about 60,000 very heterogeneous people,"" says Chamerois. ""There are expatriates who have been living here for 25 years and people who have just arrived, as well as young people in their 20s and people in their 70s. We provide them all with a very pedagogical way of explaining, we help them integrate and understand what is happening in Catalan society. And we are very proud of how they value us.”
Equinox Radio today broadcasts only music online, since the weight of the editorial project is carried by Equinox Magazine. ""We realised that it was difficult for the audience to connect at a specific time to listen to the daily radio programme we were doing. We started to transcribe the audio to text on the website, and we saw that it was read much more than it was listened to. It also was very much shared on social media,"" recalls Chamerois. ""We started to cut radio programmes, and due to the huge demand for information during the Covid pandemic, we decided to devote all the effort to Equinox Magazine.""
The website is free to access, and offers information on current political and social events, cultural and weekend proposals, and live coverage when there is any important local news. It includes a weekly newsletter and two podcasts (one on Barcelona stories and the other on entrepreneurship).
The sources of revenue are local advertising, branded content, institutional advertising, events and the sale of content to French, Belgian and Canadian media. Equinox Magazine also accepts small private donations. ""Donations do not represent an important income, but they help us to have an open channel of engagement and relationship with our audience,"" says Chamerois.
The name “Equinox” refers to balance, since day and night last the same length of time on the equinox. Chamerois explains that they wanted a media outlet which would unite cultures. “We are a French medium in Catalonia and also a Catalan medium in French,” she says. Nico Salvadó explained it this way in an interview: ""Our DNA is half French and half Spanish, it represents the mixture of French and Spanish culture.”
The founders have accumulated several lessons, especially on the management side. ""As entrepreneurs, we have learned that we run a business. Many journalists find it hard to accept that role, but you can be a company and maintain your independence,"" Chamerois acknowledges. ""We have also learned to remain innovative, to be audacious, to use our freedom to try things out. The best example is that we were born as an online radio station, and today we are an online magazine.""",23-Jul,"Barcelona, Spain",2011,French,"Science, Entertainment and culture, Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Education, Lifestyle, Law and crime, Environment, Politics, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration"
Iașul nostru,https://www.iasulnostru.ro/,,https://www.facebook.com/iasulnostrumedia/,https://www.instagram.com/iasulnostru/?hl=en,,"Iașul Nostru (Our Iași) is a newsletter-first local publication, founded in July 2021 by journalist Alex Enășescu with a grant from the Substack Local programme.
Iașul Nostru seeks to build a trustworthy, non-partisan newsroom that is devoted to strengthening the bonds that unite people in Iași, a medium-sized city in Eastern Romania, close to the borders with Moldova and Ukraine.
Their mission is to cover all of Iași through thoughtful reporting and aggregation that cuts through the noise, and helps locals understand what’s happening in their city. They do this by informing and engaging people in Iași through a weekly briefing that refocuses the news towards positive local developments, and spotlights local civic heroes and artists.
They also publish longform pieces that reflect the needs of community members at the margins — such as Ukrainian refugees and people with disabilities — as well as solution-oriented interviews with urban planning experts.
With this model, they have found that their readers come for the food and drink recommendations, but stay for the in-depth contextual coverage of local education, transportation and green space management.",23-Jul,"Iași, Romania",2021,Romanian,"Entertainment and culture, Economy and business, Entrepreneurship, Education, Lifestyle, Politics, Society and human rights, Refugees, Migration"
Bird in Flight,https://birdinflight.com/,,https://www.facebook.com/BifMagUA,https://www.instagram.com/bifmag/,,"Bird in Flight is a digital native magazine about photography and visual culture. The outlet was founded in 2014 by Depositphotos, and went fully independent from September 2022.
Its mission is to reach people who enjoy discovering the world through images, as well as those who are in search of a cultural impetus. Currently, Bird in Flight focuses on three main types of audience: creative people and photographers, IT professionals (ie those who are engaged with digital photography professionally or as a hobby), and a younger generation in search of cultural inspiration.
Bird in Flight publishes regularly, covering the following topics: people, events, exciting projects and new trends in the photo industry and the media, as well as stories about photographers from all over the world working in different genres, from recognised masters to young talents. The published pieces fall under one of the following categories: art, politics, architecture, design, film, sex and gaming. Since 2022, the outlet has experimented with a couple of formats in addition to photo projects and essays, including video, infographics, ratings and games.
Since the beginning of the full-scale invasion of Ukraine by Russia, Bird in Flight has also been documenting various aspects of war — from cultural resistance, to covering heroic deeds by the population. For example, an article featuring President Zelenskyy’s war attire reached over a million views, confirming the need for culturally entertaining stories during the war.
The invasion also affected the financial health of Bird in Flight, limiting its sources of financing to grants, as well as almost halving its revenue. The founders have also engaged in a few side projects since then, such as holding the international charity event Photographers for Children, which sold works by 74 Ukrainian authors for two weeks. The €12,650 raised was donated to the foundation Smile UA in Zaporizhzhia, which takes care of families with children and orphans affected by the war.",23-Jul,"Kyiv, Ukraine",2014,"English, Ukrainian, Russian",Entertainment and culture
Zetland,https://www.zetland.dk/,https://twitter.com/Zetland,https://www.facebook.com/zetlanddk/,https://www.instagram.com/zetland.dk/,https://www.youtube.com/channel/UC_8Z1ZbhSCEMKXWVKzQ88MA,"Zetland publishes three or four news stories daily, characterised by in-depth reporting and long-form pieces. As the website says: ""We don't just tell you that something is happening, but also why it happens and what it means."" Its approach is more constructive than critical, based on the idea that journalism is an active shaper of society.
As an organisation, Zetland is actively interested in strengthening the trust between journalists and the public. Denmark is not a particularly politically polarised country; the erosion of trust is more a consequence of the habits of the fast-paced news industry in general.
While Zetland journalists can write about any topic, the team has recurring coverage on technology and the internet. As one of the few news media, the newsroom has reported on the influence of foreign market actors on the Danish internet infrastructure and Danish politicians' use of marketing channels on Facebook. As such, Zetland's team publishes national and international stories.
In 2019 they launched an ambassador campaign among their members with the aim to grow their membership and become financially sustainable. With 4,000 members campaigning voluntarily the goal was reached within a month. Zetland's primary revenue comes from membership subscriptions; its main platform is its mobile app, not the website.
This year, they developed Good Tape, a secure transcription service for journalists (and others) that turns audio into text – regardless of language. “We've saved hundreds of boring hours at @Zetland, so we thought you'd might like as well :)” writes co-founder and editor-in-chief of Zetland Lea Korsgaard on her Twitter.",23-Jan,"19, Denmark",2016,Danish,"Science, Entertainment and culture, Sports, Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Education, Lifestyle, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice, Technology"
EachOther,https://eachother.org.uk/,https://twitter.com/EachOtherUK,https://www.facebook.com/EachOtherUK,https://www.instagram.com/eachotheruk/,https://www.youtube.com/c/EachOtherUK,"The UK's understanding and support for human rights are at the forefront of EachOther's digital coverage, which uses storytelling through written pieces, films, documentaries, animation, and graphics.
EachOther's information is grounded in the lived experience of ordinary people affected by human rights issues. In its content production, the organisation involves people to develop the stories rather than speak for and about them. The people are the voices of the EachOther platform.
The Inspired Source is a series of articles aiming to amplify underrepresented and marginalised voices in the UK. EachOther commissions opinion articles by young and marginalised aspiring journalists and writers examining human rights issues from their perspectives and communities. It also aims to challenge the disproportionately white and male predominance in the UK media industry.
EachOther is an independent journalism charity regulated by IMPRESS, producing content regularly for different charities and organisations, educating the public about human rights and the institutions that protect them in the UK.
Excluded is the first EachOther feature-length documentary about people's right to education, amplifying young people's voices on the issue of school exclusions. It was the winner of the best documentary at the London Rocks Film Festival (2021).",23-Feb,"London, United Kingdom",2015,English,"Science, Entertainment and culture, Sports, Economy and business, Economy and finance, Journalism industry, Education, Lifestyle, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice, Technology"
Nyugat.hu,https://www.nyugat.hu/,https://twitter.com/nyugathu,https://www.facebook.com/nyugathu,https://www.instagram.com/nyugat.hu/,https://www.youtube.com/user/nyugathu,"Founded in 1999, Nyugat.hu is one of the largest independent regional news sites in the Western Transdanubia part of Hungary. The organisation is a market leader in the region, with 54 million pageviews and 6.8 million unique users a year. Its readership increased during the Covid-19 pandemic and before the general elections in April 2022. It has more than 100,000 followers on Facebook.
As a non-profit organisation, it employs nine full-time journalists and seven freelancers, while 10-15 people serve as volunteers.
National media often picks up its information. According to the organisation, direct contact with its readers is significant, as it must fight for credibility daily.
""We are under pressure from the state, which makes it harder to work year after year, month after month. Imagine a room where the oxygen is being slowly but constantly sucked out. At first, the people hardly notice anything. Then, their mood changes, and they feel tired, and then they gasp for air. Finally, they suffocate. We are currently in the 'gasping for air' phase,"" journalist Antal Józing said before the Council of Europe's Committee on Current Affairs meeting in Strasbourg in June 2022.
""We have never backed a single political party. Still, it should be noted that Szombathely, where our site is located, is one of the few Hungarian cities with opposition leaders. Not because we supported them but because we gave local citizens a real choice. Information is power. And the lack of it, too,"" he added.
Most of Nyugat.hu's revenue comes from private donor organisations and foreign government grants. The media outlet relies heavily on local advertisements, provides content services for others, runs crowdfunding campaigns, and receives individual donations.",23-Jan,"Szombathely, Hungary",1999,"English, Hungarian","Science, Entertainment and culture, Sports, Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Education, Lifestyle, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice, Technology"
444.hu,https://444.hu/,https://twitter.com/444hu,https://www.facebook.com/444.hu,https://www.instagram.com/negynegynegy/,https://www.youtube.com/user/jetivideo,"444.hu was established in 2013 by journalists leaving the independent digital site Index.hu. The media outlet quickly became popular, known for its distinctive gonzo-style journalism and unique design.
""444.hu started as a lifeboat project to save the ethos and some journalists of the original Index.hu,"" said editor-in-chief Péter Uj. ""We started this project with the idea that we would do it as long as we somehow had the company's majority in our hands (...) We do not want to see it dismantled, taken away, outsourced, or sold. We will do this as long as we own this company"".
The ever-growing pressure of the Hungarian government on independent media and the advertising market meant that 444.hu had to find other sources of income to progress. For example, the organisation received grants and investments from the Media Development Investment Fund, philanthropic organisations, and other sources.
Most Hungarian news sites do not allow comments, so this became an essential community-building feature until 2016, when the organisation decided to limit it by introducing pre-moderation. A further restriction was implemented in 2019. Full-scale commenting for subscribers returned with the introduction of the paywall system in August 2021.
The site is also known for its podcasts, long reads, and videos about significant social trends and issues, from the sexual abuse of kids to parking scandals in the capital.
In January 2022, 444.hu started Lakmusz, a fact-checking site, part of the Hungarian Digital Media Observatory, with financial support from the European Commission. The organisation also run several blogs and Qubit, a site about science, tech, and the economy.",23-Jan,"Budapest, Hungary",2013,Hungarian,"Science, Entertainment and culture, Sports, Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Education, Lifestyle, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, Technology"
Mérce,https://merce.hu/,https://twitter.com/kettosmerce,https://www.facebook.com/magyarinfo/,https://www.instagram.com/merce.hu/,https://www.youtube.com/channel/UCdVH7Fu-tTa0avhvvwPUE0Q,"In April 2008, a new blog called Kettős Mérce (in English: Double Standard) launched on blog.hu, one of the biggest blog servers in Hungary. Nine years later, in 2017, the newsroom left blog.hu and created an independent news site, with 100% of its finances coming from its readers.
""We are not limited by anything; we only write what we know, believe, and think. We are not dictated from above, with no oligarch, advertiser, or politician above or behind our newsroom. We are accountable only to our readers,"" the organisation's website states.
Mérce focuses on politics and the public sphere, seeking to explain and contextualise political, economic, and social events. The organisation is known for by its opinion pieces and analysis, but the team also publishes breaking news and covers live events.
It condemns racism, social exclusion, and aggression, aiming to fight for social justice and equality while inviting its readers to make fun of extremism: ""We stand up for the oppressed and discriminated against, and support communities and organisations fighting against social inequalities and those fighting for a fairer Hungary, whether they come from party politics or civil life.""
Mérce has a relatively small newsroom, with eight full-time and nine part-time employees, but it also has a vast pool of volunteers (almost 200 people). It is a non-profit organisation, so its income comes from crowdfunding campaigns and grants from private donor organisations and foreign governments.
Mérce is strong on social media, especially on Facebook, with over 330,000 followers.",23-Jan,"Budapest, Hungary",2017,Hungarian,"Entertainment and culture, Economy and business, Economy and finance, Journalism industry, Education, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Refugees, Migration"
Atlatszo.hu,https://atlatszo.hu/,https://twitter.com/atlatszo,https://hu-hu.facebook.com/atlatszo.hu/,https://www.instagram.com/atlatszo/?hl=hu,https://www.youtube.com/c/Atlatszovideo,"Atlatszo.hu is the first Hungarian investigative journalism watchdog and non-profit organisation promoting transparency, accountability, and freedom of information in the country. Established in 2011, atlatszo.hu (in English: transparent) produces investigative articles, accepts inputs from whistleblowers, fills freedom of information requests (FOI), and starts freedom of information lawsuits in cases where its requests are refused.
An English abstract accompanies the most relevant stories to make them accessible to a non-Hungarian audience.
Atlatszo.hu operates a Tor-based anonymous whistleblowing platform (Magyarleaks), a freedom of information request generator for the general public (Kimittud), and an independent blogging platform for other NGOs and independent media.
Nonpartisan and non-governmental sources finance Atlatszo.hu; it does not accept money from Hungarian state institutions, political parties, or affiliates. Individual donors - more than 5,000 private citizens - contribute significantly as well. The organisation often runs crowdfunding campaigns to get funding from its audience. It also receives microdonations and money from personal tax income.
In 2021, almost 50% of the budget came from people asking to donate 1% of their taxable income to a non-profit organisation. (The Hungarian population can ask to give 1% of the previous year's income tax to a non-profit organisation.) The rest came from international institutional donors and grants.
Atlatszo.hu cooperates with other NGOs and independent media in Hungary and internationally, and is a member of the Global Investigative Journalism Network (GIJN).",23-Jan,"Budapest, Hungary",2011,"English, Hungarian","Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Education, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, Ethnic minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, Technology"
